"LIBRARYREFERENCE","FOOTPRINT1","CATEGORY","COMMENT","COMPONENTLINK1DESCRIPTION","COMPONENTLINK1URL","COMPONENTLINK2DESCRIPTION","COMPONENTLINK2URL","CONTACT RESISTANCE","GENDER","MANUFACTURER","MANUFACTURER PART NUMBER","MATCH CODE","MOUNT","NUMBER OF PINS","NUMBER OF ROWS","OPERATING TEMPERATURE MAX","OPERATING TEMPERATURE MIN","ORIENTATION","PACKAGING","PITCH","RATED CURRENT","WITHSTANDING VOLTAGE","WORKING VOLTAGE","SHEETPART","DESIGNATOR","DESCRIPTION"
"61000411921","61000411921","Board-to-Board Connectors","61000411921","Website Link","https://www.we-online.com/redexpert/article/61000411921?ad","Datasheet Link","https://www.we-online.com/redexpert/spec/61000411921?ad","20mOhm","Socket Header","Wurth Elektronik","61000411921","WR-PHD","Surface Mount","4","1","105°C","-40°C","Vertical","Tube","2.54mm","3A","500V","250V","*","J?","WR-PHD Socket Header, SMT, Vertical, pitch 2.54mm, 1 Row, 4P"
"61000413321","61000413321","Board-to-Board Connectors","61000413321","Website Link","https://www.we-online.com/redexpert/article/61000413321?ad","Datasheet Link","https://www.we-online.com/redexpert/spec/61000413321?ad","20mOhm","Socket Header","Wurth Elektronik","61000413321","WR-PHD","Surface Mount","4","1","125°C","-40°C","Vertical","Tube","2.54mm","3A","500V","250V","*","J?","WR-PHD Socket Header, SMT, Vertical, pitch 2.54mm, 1 Row, 4P"
"61000418221","61000418221","Board-to-Board Connectors","61000418221","Website Link","https://www.we-online.com/redexpert/article/61000418221?ad","Datasheet Link","https://www.we-online.com/redexpert/spec/61000418221?ad","20mOhm","Pin Header","Wurth Elektronik","61000418221","WR-PHD","Surface Mount","4","1","105°C","-40°C","Vertical","Tube","2.54mm","3A","500V","250V","*","P?","WR-PHD Pin Header, SMT, Vertical, pitch 2.54mm, 1 Row, 4P"
"61000418321","61000418321","Board-to-Board Connectors","61000418321","Website Link","https://www.we-online.com/redexpert/article/61000418321?ad","Datasheet Link","https://www.we-online.com/redexpert/spec/61000418321?ad","20mOhm","Pin Header","Wurth Elektronik","61000418321","WR-PHD","Surface Mount","4","1","125°C","-40°C","Vertical","Tube","2.54mm","3A","500V","250V","*","P?","WR-PHD Pin Header, SMT, Vertical, pitch 2.54mm, 1 Row, 4P"
"61000421121","61000421121","Board-to-Board Connectors","61000421121","Website Link","https://www.we-online.com/redexpert/article/61000421121?ad","Datasheet Link","https://www.we-online.com/redexpert/spec/61000421121?ad","20mOhm","Pin Header","Wurth Elektronik","61000421121","WR-PHD","Surface Mount","4","2","125°C","-40°C","Vertical","Tube","2.54mm","3A","500V","250V","*","P?","WR-PHD Pin Header, SMT, Vertical, pitch 2.54mm, 2 Row, 4P"
"61000421821","61000421821","Board-to-Board Connectors","61000421821","Website Link","https://www.we-online.com/redexpert/article/61000421821?ad","Datasheet Link","https://www.we-online.com/redexpert/spec/61000421821?ad","20mOhm","Socket Header","Wurth Elektronik","61000421821","WR-PHD","Surface Mount","4","2","105°C","-40°C","Vertical","Tube","2.54mm","3A","600V","250V","*","J?","WR-PHD Socket Header, SMT, Vertical, pitch 2.54mm, 2 Row, 4P"
"610004243021","610004243021","Board-to-Board Connectors","610004243021","Website Link","https://www.we-online.com/redexpert/article/610004243021?ad","Datasheet Link","https://www.we-online.com/redexpert/spec/610004243021?ad","20mOhm","Socket Header","Wurth Elektronik","610004243021","WR-PHD","Surface Mount","4","2","125°C","-40°C","Vertical","Tube","2.54mm","3A","500V","250V","*","J?","WR-PHD Socket Header, SMT, Vertical, pitch 2.54mm, 2 Row, 4P"
"61000511921","61000511921","Board-to-Board Connectors","61000511921","Website Link","https://www.we-online.com/redexpert/article/61000511921?ad","Datasheet Link","https://www.we-online.com/redexpert/spec/61000511921?ad","20mOhm","Socket Header","Wurth Elektronik","61000511921","WR-PHD","Surface Mount","5","1","105°C","-40°C","Vertical","Tube","2.54mm","3A","500V","250V","*","J?","WR-PHD Socket Header, SMT, Vertical, pitch 2.54mm, 1 Row, 5P"
"61000513321","61000513321","Board-to-Board Connectors","61000513321","Website Link","https://www.we-online.com/redexpert/article/61000513321?ad","Datasheet Link","https://www.we-online.com/redexpert/spec/61000513321?ad","20mOhm","Socket Header","Wurth Elektronik","61000513321","WR-PHD","Surface Mount","5","1","125°C","-40°C","Vertical","Tube","2.54mm","3A","500V","250V","*","J?","WR-PHD Socket Header, SMT, Vertical, pitch 2.54mm, 1 Row, 5P"
"61000611921","61000611921","Board-to-Board Connectors","61000611921","Website Link","https://www.we-online.com/redexpert/article/61000611921?ad","Datasheet Link","https://www.we-online.com/redexpert/spec/61000611921?ad","20mOhm","Socket Header","Wurth Elektronik","61000611921","WR-PHD","Surface Mount","6","1","105°C","-40°C","Vertical","Tube","2.54mm","3A","500V","250V","*","J?","WR-PHD Socket Header, SMT, Vertical, pitch 2.54mm, 1 Row, 6P"
"61000613321","61000613321","Board-to-Board Connectors","61000613321","Website Link","https://www.we-online.com/redexpert/article/61000613321?ad","Datasheet Link","https://www.we-online.com/redexpert/spec/61000613321?ad","20mOhm","Socket Header","Wurth Elektronik","61000613321","WR-PHD","Surface Mount","6","1","125°C","-40°C","Vertical","Tube","2.54mm","3A","500V","250V","*","J?","WR-PHD Socket Header, SMT, Vertical, pitch 2.54mm, 1 Row, 6P"
"61000618221","61000618221","Board-to-Board Connectors","61000618221","Website Link","https://www.we-online.com/redexpert/article/61000618221?ad","Datasheet Link","https://www.we-online.com/redexpert/spec/61000618221?ad","20mOhm","Pin Header","Wurth Elektronik","61000618221","WR-PHD","Surface Mount","6","1","105°C","-40°C","Vertical","Tube","2.54mm","3A","500V","250V","*","P?","WR-PHD Pin Header, SMT, Vertical, pitch 2.54mm, 1 Row, 6P"
"61000618321","61000618321","Board-to-Board Connectors","61000618321","Website Link","https://www.we-online.com/redexpert/article/61000618321?ad","Datasheet Link","https://www.we-online.com/redexpert/spec/61000618321?ad","20mOhm","Pin Header","Wurth Elektronik","61000618321","WR-PHD","Surface Mount","6","1","125°C","-40°C","Vertical","Tube","2.54mm","3A","500V","250V","*","P?","WR-PHD Pin Header, SMT, Vertical, pitch 2.54mm, 1 Row, 6P"
"61000621121","61000621121","Board-to-Board Connectors","61000621121","Website Link","https://www.we-online.com/redexpert/article/61000621121?ad","Datasheet Link","https://www.we-online.com/redexpert/spec/61000621121?ad","20mOhm","Pin Header","Wurth Elektronik","61000621121","WR-PHD","Surface Mount","6","2","125°C","-40°C","Vertical","Tube","2.54mm","3A","500V","250V","*","P?","WR-PHD Pin Header, SMT, Vertical, pitch 2.54mm, 2 Row, 6P"
