Replace Part C35 C0805C106K9RACTU in D:\PROJETFINDEC\Darkyden_project\SCHEMATIC\DARKYDEN\SDCARD.SchDoc with C0805C106K9RACTU from SamacSys.SchLib
Replace Part C36 C0805C104K4RACAUTO in D:\PROJETFINDEC\Darkyden_project\SCHEMATIC\DARKYDEN\SDCARD.SchDoc with C0805C104K4RACAUTO from C0805C104K4RACAUTO.SchLib
Replace Part R44 ERJ-3EKF33R0V in D:\PROJETFINDEC\Darkyden_project\SCHEMATIC\DARKYDEN\SDCARD.SchDoc with ERJ-3EKF33R0V from ERJ-3EKF33R0V.SchLib
Replace Part R45 ERJ-3EKF33R0V in D:\PROJETFINDEC\Darkyden_project\SCHEMATIC\DARKYDEN\SDCARD.SchDoc with ERJ-3EKF33R0V from ERJ-3EKF33R0V.SchLib
Replace Part R46 ERJ-3EKF33R0V in D:\PROJETFINDEC\Darkyden_project\SCHEMATIC\DARKYDEN\SDCARD.SchDoc with ERJ-3EKF33R0V from ERJ-3EKF33R0V.SchLib
Replace Part R47 ERJ-3EKF33R0V in D:\PROJETFINDEC\Darkyden_project\SCHEMATIC\DARKYDEN\SDCARD.SchDoc with ERJ-3EKF33R0V from ERJ-3EKF33R0V.SchLib
Replace Part R48 ERJ-3EKF33R0V in D:\PROJETFINDEC\Darkyden_project\SCHEMATIC\DARKYDEN\SDCARD.SchDoc with ERJ-3EKF33R0V from ERJ-3EKF33R0V.SchLib
Replace Part R49 ERJ-3EKF33R0V in D:\PROJETFINDEC\Darkyden_project\SCHEMATIC\DARKYDEN\SDCARD.SchDoc with ERJ-3EKF33R0V from ERJ-3EKF33R0V.SchLib
Replace Part R50 ERJ-3EKF33R0V in D:\PROJETFINDEC\Darkyden_project\SCHEMATIC\DARKYDEN\SDCARD.SchDoc with ERJ-3EKF33R0V from ERJ-3EKF33R0V.SchLib
Replace Part U18 TPD4E02B04DQAR in D:\PROJETFINDEC\Darkyden_project\SCHEMATIC\DARKYDEN\SDCARD.SchDoc with TPD4E02B04DQAR from TPD4E02B04DQAR.SchLib
Replace Part U19 TPD4E02B04DQAR in D:\PROJETFINDEC\Darkyden_project\SCHEMATIC\DARKYDEN\SDCARD.SchDoc with TPD4E02B04DQAR from TPD4E02B04DQAR.SchLib
